screen_names,bot_levels,infos
3meed_news,0.43419592215222325,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
BBCAfrica,0.18103623524881648,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
fssaiindia,0.2967383809249259,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
sikka_harinder,0.2275998651239395,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
alitheindian,0.34323075495340793,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
AhmadJawadBTH,0.10273894455376373,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
iconicmassstAAr,0.48607950885668283,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
BallouxFrancois,0.29042471444564705,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
meer_irma,0.41982538365015126,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
virendra_G_,0.32857518002557373,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
cyngarciaradio,0.2667688197711368,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
SudhaRamenIFS,0.24437611493496053,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
sgrhindia,0.31638733515378925,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
BFMTV,0.4277272657417027,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
EduardoLeite_,0.16935369269659084,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
ndrew_lawrence,0.3004052416173069,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
KyotoU_News,0.4675751668099388,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
JessicaPoku,0.21522172245099075,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
polo49122,0.27710102845233975,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
Bhumichaudhar18,0.1365187969924812,<p>Um dos critérios que mais teve peso na análise foi o índice Temporal</p>
EsSaludPeru,0.31381148482187654,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
mspls_bdi,0.4438580824116909,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
Finanzas_Times,0.5585314488165235,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
ishafoundation,0.29526458780216724,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
porquetendencia,0.38648326830255214,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
Entekhab_News,0.3616685659270929,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
baybarsorsek,0.20250232089610032,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
GovWhitmer,0.129644430613017,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
NYRangers,0.23223867050118732,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
AFP,0.3932863379027497,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
zermatt_tourism,0.5422278637943403,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
lucadb,0.2996511314816045,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
mzwandileMasina,0.2760806757734372,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
AyaNakamuraa,0.1808491532659929,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
RamsDreezy,0.30142157693699795,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
umashankarsingh,0.31802303469893833,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
mitmagob,0.2664830615457877,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
GuillermoHita,0.3820176653348678,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
jodicel,0.24854204851306946,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
sambitswaraj,0.2575712925170068,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
radiobandnewsfm,0.29423497254379605,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
followlasg,0.34764887069494926,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
tijarawala,0.44586480233357684,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
DanielUrresti1,0.26427504551776837,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
i3leem,0.4739970950147569,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
DJXandyBrown,0.19591076938717059,<p>Um dos critérios que mais teve peso na análise foi o índice Temporal</p>
globaltimesnews,0.23541527977410562,<p>Um dos critérios que mais teve peso na análise foi o índice de Perfil</p>
PoliciaLocalSFH,0.3392996276167472,<p>Um dos critérios que mais teve peso na análise foi o índice de Sentimento</p>
