checked_link,countries,date,id,justify,label,poynter_link,source,title
https://www.aosfatos.org/noticias/nao-ha-evidencias-de-que-plasma-equino-cure-covid-19-soro-ainda-nao-foi-testado-em-humanos/,Brazil,2021-01-08 00:00:00,1,explanation although the vital brazil institute is developing a serum based on horse plasma as a possible treatment for the disease  tests on humans have not yet been carried out  only in vitro  one of the most basic levels of research,FALSE,https://www.poynter.org/?ifcn_misinformation=serum-made-from-equine-plasma-cures-covid-19, Aos Fatos, serum made from equine plasma cures covid19
https://piaui.folha.uol.com.br/lupa/2021/01/07/verificamos-video-vacinacao-israel/,Brazil,2021-01-07 00:00:00,2,explanation the video was deliberately edited to cut out the part in which the patient receives the injection,FALSE,https://www.poynter.org/?ifcn_misinformation=a-video-of-an-allegedly-staged-vaccination-in-israel, Agência Lupa, a video of an allegedly staged vaccination in israel
https://www.aosfatos.org/noticias/e-falso-que-washington-post-noticiou-que-china-nao-quer-usar-coronavac/,Brazil,2021-01-07 00:00:00,3,explanation the washington post newspaper archive does not contain reports that comprove the posts claims in october  the vehicle reported that four experimental vaccines produced by three chinese companies  sinovac biotech  sinopharm and cansino biologics  were being used in an emergency regime even during clinical trials coronavacs approval for emergency use in china took place in july 2020 and remains in effect,FALSE,https://www.poynter.org/?ifcn_misinformation=washington-post-reported-that-china-does-not-want-to-use-coronavac, Aos Fatos, washington post reported that china does not want to use coronavac
https://www.aosfatos.org/noticias/video-de-caetano-e-bethania-dancando-em-festa-e-janeiro-de-2019-nao-atual/,Brazil,2021-01-06 00:00:00,4,explanation the video was recorded during lavagem da purificação  traditional event in santo amaro ba  the singers hometown  on january 27  2019 that day was also celebrated the birthday of rodrigo veloso  caetano and bethânias brother,FALSE,https://www.poynter.org/?ifcn_misinformation=recent-video-shows-musicians-caetano-veloso-and-maria-bethania-dancing-at-a-party, Aos Fatos, recent video shows musicians caetano veloso and maria bethânia dancing at a party
https://www.aosfatos.org/noticias/e-falso-que-vacinacao-de-kamala-harris-contra-covid-19-foi-encenada/,Brazil,2021-01-05 00:00:00,5,explanation the senator correctly received the first of two doses of modernas vaccine on december 29 in washington  dc the excerpt highlighted in the video that circulates in the publications shows only the moment when the nurse covers the needle with a protective cap,FALSE,https://www.poynter.org/?ifcn_misinformation=kamala-harris-vaccination-against-covid-19-was-staged, Aos Fatos, kamala harris vaccination against covid19 was staged
https://www.aosfatos.org/noticias/posts-enganam-ao-indicar-uso-de-remedios-sem-eficacia-comprovada-contra-covid-19/,Brazil,2021-01-06 00:00:00,6,explanation according to the who world health organization  there is still no drug  food or vitamin that has proven to be able to prevent or treat covid19,FALSE,https://www.poynter.org/?ifcn_misinformation=hydroxychloroquine-ivermectin-azithromycin-vitamin-d-and-zinc-are-effective-against-covid-19, Aos Fatos, hydroxychloroquine ivermectin azithromycin vitamin d and zinc are effective against covid19
https://www.aosfatos.org/noticias/anvisa-nao-declarou-que-fabricante-da-coronavac-esta-fora-dos-padroes-de-qualidade/,Brazil,2021-01-07 00:00:00,7,explanation the agency denied this allegation and  in december  granted the company certification of good manufacturing practices the document attests to the ability of the production line to meet the quality requirements of medicines,FALSE,https://www.poynter.org/?ifcn_misinformation=anvisa-declared-that-coronavac-manufacturer-is-out-of-quality-standards, Aos Fatos, anvisa declared that coronavac manufacturer is out of quality standards
https://piaui.folha.uol.com.br/lupa/2021/01/06/verificamos-mortes-2020-2019/,Brazil,2021-01-06 00:00:00,8,explanation the numbers quoted on this video are false there was a significant increase in the number of deaths in 2020,FALSE,https://www.poynter.org/?ifcn_misinformation=more-people-died-in-brazil-in-2019-than-in-2020-despite-the-pandemic, Agência Lupa, more people died in brazil in 2019 than in 2020 despite the pandemic
https://www.aosfatos.org/noticias/numero-de-obitos-no-brasil-entre-marco-e-maio-de-2020-nao-foi-menor-do-que-no-mesmo-periodo-de-2019/,Brazil,2021-01-05 00:00:00,9,explanation according to data consulted on the civil registry transparency portal  a platform used by the disinformation piece  every month cited in the publication had more death records in 2020 than in 2019,FALSE,https://www.poynter.org/?ifcn_misinformation=number-of-deaths-in-brazil-between-march-and-may-2020-was-lower-than-in-the-same-period-of-2019, Aos Fatos, number of deaths in brazil between march and may 2020 was lower than in the same period of 2019
https://www.aosfatos.org/noticias/e-falso-que-carlos-bolsonaro-ja-tenha-se-vacinado-contra-covid-19/,Brazil,2021-01-25 00:00:00,10,explanation the ministry of defense and the eastern military command  responsible for the hospital where the vaccination would have occurred  denied the information carlos bolsonaro also denied the publications,FALSE,https://www.poynter.org/?ifcn_misinformation=carlos-bolsonaro-son-of-president-jair-bolsonaro-skipped-the-line-and-received-a-dose-of-the-covid-19-vaccine, Aos Fatos, carlos bolsonaro son of president jair bolsonaro skipped the line and received a dose of the covid19 vaccine
